code,name
M01,Partidos políticos comparados
M02,Derecho electoral I
M03,Organización de campañas
M04,Prospectiva Electoral
M05,Derecho Electoral II
M06,Teoría de la imagen
M07,Administración de campañas I
M08,Estrategia de Campaña
M09,Mercadotecnia Electoral (Redes Sociales)
M10,Promoción Electoral (Estructura de Tierra)
M11,Estructura Geoelectoral
M12,War Room
M13,Agenda del Candidato
M14,Administración de Campañas II
M15,Logística y Técnica Ceremonial
M16,Agenda de Medios
M17,Derecho Electoral III
M18,Administración de Campañas III
M19,Seminario de Investigación
M20,Proyecto de Investigación y Trabajo de Campo
